Brand,Model,Year of Fabrication,Kilometres,Location,PriceEuro
Nissan,Qashqai,2017,66 400 km,"Calea Bucureștilor 289, Otopeni, România - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","19 399"
Audi,Q5,2021,27 480 km,"Calea Bucureștilor 289, Otopeni, România - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","59 990"
Ford,Ranger,2022,220 km,"Calea Bucureștilor 289, Otopeni, România - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","40 700"
Peugeot,3008,2019,57 700 km,"Calea Bucureștilor 289, Otopeni, România - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","24 399"
Mercedes-Benz,E,2021,20 360 km,"Calea Bucureștilor 289, Otopeni, România - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","58 900"
Toyota,RAV4,2023,10 km,"Calea Bucureștilor 289, Otopeni, România - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","50 498"
Toyota,RAV4,2023,10 km,"Calea Bucureștilor 289, Otopeni, România - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","50 498"
Toyota,Corolla,2019,36 306 km,"Strada Padina 1, Bucharest, Romania - 015015 Bucuresti, Judet Bucuresti (Romania)","14 500"
BMW,Seria 4,2017,97 800 km,"Brasov, Judet Brasov","19 600"
Nissan,Juke,2016,68 995 km,"Str. Corneliu Coposu - 40000 Cluj-Napoca, Judet Cluj (Romania)","10 750"
Ford,Focus,2016,92 700 km,"Bucuresti, Sectorul 5","9 150"
Hyundai,Santa Fe,2014,172 200 km,"STR. RUBINULUI 8 - 707083 Valea Lupului, Judet Iasi (Romania)","15 700"
Mercedes-Benz,ML,2012,213 000 km,"Str. Unirii, Nr. 11 - 430271 Baia Mare, Judet Maramures (Romania)","20 990"
Toyota,C-HR,2019,78 324 km,"Strada Padina 1, Bucharest, Romania - 015015 Bucuresti, Judet Bucuresti (Romania)","19 350"
BMW,Seria 5,2013,138 910 km,"Sibiu, Judet Sibiu","19 500"
Mercedes-Benz,GLC,2021,13 543 km,"Str Gheorghe Doja nr 304 - 540237 Targu-Mures, Judet Mures (Romania)","85 561"
Mercedes-Benz,CLS,2019,104 000 km,"SOS ALEXANDRIEI NR.83 - 077025 Ilfov, Judet Ilfov (Romania)","52 715"
Lexus,Seria ES,2019,121 000 km,"STR. RUBINULUI 8 - 707083 Valea Lupului, Judet Iasi (Romania)","36 295"
BMW,Seria 3,2017,209 157 km,"STR.VALEA CASCADELOR 11 F , SECTOR 6 BUCURESTI - 061511 Bucuresti, Judet Bucuresti (Romania)","18 599"
Toyota,Auris,2016,125 000 km,"Bucuresti, Sectorul 5","9 650"
Hyundai,I30,2016,115 714 km,"Bucuresti, Sectorul 4","9 700"
BMW,X6,2014,230 000 km,"Com. Sacalaz, Sat Sacalaz, Str. Industriei Nr.2 - 307370 Timisoara, Judet Timis (Romania)","26 990"
Opel,Astra,2019,176 000 km,"Bucuresti, Sectorul 5","9 300"
Fiat,Tipo,2017,205 749 km,"Calea Bucurestilor, nr. 224E - 075150 Otopeni, Judet Bucuresti - Ilfov (Romania)","6 199"
Lexus,Seria NX,2018,169 091 km,"Bulevardul Biruinței 140, Pantelimon, România - 077145 Pantelimon, Judet Bucuresti - Ilfov (Romania)","24 990"
Dacia,Duster,2015,189 000 km,"str piscul crasani nr 87 - 062337 Bucuresti, Judet Bucuresti (Romania)","8 450"
Ford,Kuga,2017,184 004 km,"Calea Bucurestilor, nr. 224E - 075150 Otopeni, Judet Bucuresti - Ilfov (Romania)","16 999"
Volkswagen,Touareg,2015,163 214 km,"Sibiu, Judet Sibiu","21 500"
Opel,Astra,2019,35 000 km,"Maresal Averescu 8-10 - 011455 Bucuresti, Judet Bucuresti (Romania)","10 234"
Ford,Kuga,2018,78 129 km,"STR. DISTRIBUTIEI, NR. 4 - 550135 Sibiu, Judet Sibiu (Romania)","17 951"
Mercedes-Benz,GLA,2019,32 952 km,"Strada Padina 1, Bucharest, Romania - 015015 Bucuresti, Judet Bucuresti (Romania)","22 950"
BMW,Seria 1,2012,212 000 km,"Constructorilor nr 28 - 300571 Timisoara, Judet Timis (Romania)","7 999"
Ford,Focus,2010,249 999 km,"Bd. Timisoara nr. 104E - 61334 Bucuresti, Judet Bucuresti (Romania)","2 999"
BMW,X4,2018,112 002 km,"RETEA NATIONALA DE VANZARI - BUCURESTI Galati, Judet Galati (Romania)","41 638"
Audi,A8,2022,27 500 km,"RETEA NATIONALA DE VANZARI - BUCURESTI Galati, Judet Galati (Romania)","80 906"
Dacia,Dokker,2013,139 000 km,"Strada Transilvaniei 92, Baciu, Cluj - Napoca, Clu - 407055 Cluj-Napoca, Judet Cluj (Romania)","7 999"
