Brand,Model,Year of Fabrication,Kilometres,Location,PriceEuro
BMW,Seria 3,2005,325 000 km,"Ramnicu Valcea, Judet Valcea","5 500"
BMW,Seria 5,2011,270 000 km,"Constanta, Judet Constanta","8 500"
Mercedes-Benz,G,2023,5 900 km,"Strada Verzisori Nr.50 - 040301 Bucuresti, Judet Bucuresti (Romania)","204 898"
BMW,X5,2021,65 000 km,"Ramnicu Valcea, Judet Valcea","58 500"
Mercedes-Benz,GLC,2017,229 300 km,"Ploiesti, Judet Prahova","22 900"
BMW,Seria 5,2017,110 000 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","24 990"
Hyundai,Tucson,2016,193 000 km,"Calea Doctor Alexandru Șafran 23, Bacău, Romania - 600298 Bacau, Judet Bacau (Romania)","16 800"
Land Rover,Discovery Sport,2021,94 000 km,"STRADA POPASULUI 88 - 077190 Voluntari, Judet Bucuresti - Ilfov (Romania)","29 989"
Volvo,XC 90,2018,160 000 km,"B-dul Garii nr. 3A - 500199 Brasov, Judet Brasov (Romania)","40 936"
Bentley,Bentayga,2022,5 500 km,"Calea Bucureștilor 289, Otopeni, România - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","328 900"
Volkswagen,Touran,2005,278 000 km,"Strada Principala, nr 701 - 123456 Sascut, Judet Bacau (Romania)","3 499"
BMW,X3,2015,254 000 km,"Strada - 607355 Bacau, Judet Bacau (Romania)","14 300"
Audi,A4,2013,295 000 km,"Strada - 607355 Bacau, Judet Bacau (Romania)","9 950"
BMW,X1,2017,152 000 km,"Strada - 607355 Bacau, Judet Bacau (Romania)","16 950"
Hyundai,IONIQ,2017,100 000 km,"Strada - 607355 Bacau, Judet Bacau (Romania)","17 450"
Honda,Civic,2019,33 000 km,"Mogosoaia, Judet Bucuresti - Ilfov","19 500"
Toyota,C-HR,2018,174 000 km,"Strada - 607355 Bacau, Judet Bacau (Romania)","18 450"
Skoda,Fabia,2020,87 410 km,"Bd Pipera 1/x - 077190 Voluntari, Judet Bucuresti - Ilfov (Romania)","11 200"
Fiat,500X,2017,137 000 km,"B-dul Garii nr. 3A - 500199 Brasov, Judet Brasov (Romania)","13 900"
Renault,Koleos,2017,199 000 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","17 990"
Mercedes-Benz,A,2022,5 000 km,"Drumul Eugen Brote nr 1 - 013833 Bucuresti, Judet Bucuresti (Romania)","39 499"
Mercedes-Benz,V,2023,,"Bd. Aurel Vlaicu - Nr.133 - 900498 Constanta, Judet Constanta (Romania)","70 834"
Rolls-Royce,Wraith,2019,39 900 km,"Calea Bucureștilor 289, Otopeni, România - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","408 333"
Audi,Q7,2018,62 351 km,"Sos. Bucuresti-Ploiesti, Nr145, - 235467 Otopeni, Judet Bucuresti - Ilfov (Romania)","41 000"
Renault,Megane,2017,165 000 km,"Pitesti, Judet Arges","10 799"
Audi,Q5,2020,106 958 km,"RETEA NATIONALA DE VANZARI - BUCURESTI Galati, Judet Galati (Romania)","39 258"
Volkswagen,Golf,2021,15 550 km,"Soseaua Bucuresti-Ploiesti 83-85-87 - 013685 Bucuresti, Judet Bucuresti (Romania)","24 990"
Nissan,Juke,2015,63 891 km,"Str. Corneliu Coposu - 40000 Cluj-Napoca, Judet Cluj (Romania)","10 890"
BMW,Seria 5,2014,199 000 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","16 990"
Volvo,V40,2014,198 000 km,"Pitesti, Judet Arges","10 499"
Audi,A5,2017,193 000 km,"Cluj-Napoca, Judet Cluj","27 900"
BMW,X4,2016,192 114 km,"Calea Bucurestilor , Nr. 1 , Otopeni , Ilfov - 077190 Otopeni, Judet Bucuresti - Ilfov (Romania)","23 450"
Volkswagen,Touran,2012,210 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","8 250"
Renault,Koleos,2010,247 000 km,"Str Teilor nr.170 - 307201 Timisoara, Judet Timis (Romania)","6 499"
Volkswagen,Passat,2018,150 000 km,"str. Traian Vuia nr. 236 (in curte la firma Elda) - 400397 Cluj-Napoca, Judet Cluj (Romania)","16 950"
Dacia,Duster,2019,71 512 km,"Calea Bucuresti, nr. 111 - 077180 Tunari, Judet Bucuresti - Ilfov (Romania)","16 189"
Jaguar,E-Pace,2018,110 178 km,"RETEA NATIONALA DE VANZARI - BUCURESTI Galati, Judet Galati (Romania)","29 736"
Volkswagen,Passat CC,2010,202 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","8 800"
Audi,A6,2013,248 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","12 999"
Mercedes-Benz,GLC,2016,188 236 km,"STR.VALEA CASCADELOR 11 F , SECTOR 6 BUCURESTI - 061511 Bucuresti, Judet Bucuresti (Romania)","28 999"
Toyota,Corolla,2019,148 486 km,"Calea Bucuresti, nr. 111 - 077180 Tunari, Judet Bucuresti - Ilfov (Romania)","18 390"
Audi,Q3,2014,140 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","13 500"
BMW,Seria 5,2017,72 000 km,"Deva, Judet Hunedoara","42 000"
Volkswagen,Tiguan,2013,254 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","12 300"
BMW,Seria 5,2019,136 500 km,"Petrosani, Judet Hunedoara","31 990"
Volkswagen,Sharan,2009,267 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","6 000"
Hyundai,Tucson,2019,180 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","16 500"
Mazda,CX-5,2017,180 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","16 300"
Dacia,Duster,2020,155 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","13 800"
Jaguar,E-Pace,2019,52 720 km,"STR. DISTRIBUTIEI, NR. 4 - 550135 Sibiu, Judet Sibiu (Romania)","29 849"
BMW,X1,2020,115 000 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","28 989"
Dacia,Duster,2018,154 000 km,"Soseaua Sighisoarei nr 395/p - 547367 Corunca, Judet Mures (Romania)","15 101"
Toyota,C-HR,2023,2 km,"Bulevardul Tudor Vladimirescu 29A, AFI Tech Park 2 - 050881 Bucuresti, Judet Bucuresti (Romania)","31 700"
Skoda,Octavia,2018,218 801 km,"Strada Traian Vuia Nr. 103 - 400387 Cluj-Napoca, Judet Cluj (Romania)","11 798"
Peugeot,308,2018,174 455 km,"Strada Traian Vuia Nr. 103 - 400387 Cluj-Napoca, Judet Cluj (Romania)","9 949"
BMW,X4,2020,169 400 km,"Mihai Viteazul, nr. 105 A - 450066 Zalau, Judet Salaj (Romania)","38 498"
Volkswagen,Golf,2019,193 115 km,"Strada Traian Vuia Nr. 103 - 400387 Cluj-Napoca, Judet Cluj (Romania)","11 299"
Jaguar,E-Pace,2019,143 380 km,"Strada Traian Vuia 236, Cluj-Napoca, Romania - 400397 Cluj-Napoca, Judet Cluj (Romania)","22 490"
Dacia,Lodgy,2013,179 000 km,"Strada Transilvaniei 92, Baciu, Cluj - Napoca, Clu - 407055 Cluj-Napoca, Judet Cluj (Romania)","5 499"
Mercedes-Benz,S,2018,168 000 km,"Bulevardul Pipera 1 Voluntari, Romania - 077191 Voluntari, Judet Bucuresti - Ilfov (Romania)","52 717"
Mercedes-Benz,GLE Coupe,2015,188 000 km,"Arad, Calea Radnei, Nr. 247 - 310316 Arad, Judet Arad (Romania)","41 490"
Mazda,CX-5,2019,192 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","17 490"
Opel,Astra,2013,120 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","8 300"
BMW,X5,2019,129 000 km,"Strada Avionului nr.9 - 014332 Bucuresti, Judet Bucuresti (Romania)","57 479"
Mercedes-Benz,EQA,2022,2 200 km,"RETEA NATIONALA DE VANZARI - BUCURESTI Galati, Judet Galati (Romania)","40 448"
Skoda,Kodiaq,2022,44 137 km,"Bulevardul Iuliu Maniu 516, Sector 6 - 061124 Bucuresti, Judet Bucuresti (Romania)","38 989"
Renault,Scenic,2013,197 000 km,"Strada Transilvaniei 92, Baciu, Cluj - Napoca, Clu - 407055 Cluj-Napoca, Judet Cluj (Romania)","5 999"
Volvo,XC 60,2018,95 742 km,"Calea Clujului 197, Oradea, România - 410546 Oradea, Judet Bihor (Romania)","46 993"
Kia,Sportage,2015,81 300 km,"Calea Clujului 197, Oradea, România - 410546 Oradea, Judet Bihor (Romania)","13 685"
Audi,A6,2017,250 000 km,"com. Geamana Str. Targului ,NR 21/ IN PITESTI/ - 117141 Pitesti, Judet Arges (Romania)","16 990"
Mercedes-Benz,GLE Coupe,2017,232 000 km,"Strada Transilvaniei 92, Baciu, Cluj - Napoca, Clu - 407055 Cluj-Napoca, Judet Cluj (Romania)","35 999"
Mercedes-Benz,V,2021,21 379 km,"Bucuresti, Sectorul 3","69 951"
Mercedes-Benz,C,2022,8 780 km,"Piata Montreal nr 10, WTC, Intrarea E, Parter - 011469 Bucuresti, Judet Bucuresti (Romania)","54 569"
Audi,A5,2013,133 200 km,"Sos. Pipera 50A, Sector 2, Bucuresti - 014254 Bucuresti, Judet Bucuresti (Romania)","15 300"
Audi,A4,2010,190 100 km,"Calea Aurel Vlaicu, nr. 282/2-3 - 310375 Arad, Judet Arad (Romania)","8 850"
Volvo,XC 60,2022,5 000 km,"CALEA FLORESTI NR.145 - 400524 Cluj-Napoca, Judet Cluj (Romania)","59 884"
Toyota,Prius,2018,124 000 km,"str 23 august - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","22 990"
Ford,Ranger,2021,110 421 km,"str 23 august - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","35 989"
Ford,Raptor,2020,131 721 km,"str 23 august - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","37 989"
Toyota,Land Cruiser,2023,5 km,"Bulevardul Tudor Vladimirescu 29A, AFI Tech Park 2 - 050881 Bucuresti, Judet Bucuresti (Romania)","69 000"
Mercedes-Benz,GLC,2020,147 580 km,"str. Amurgului, nr. 1 - 300278 Timisoara, Judet Timis (Romania)","37 400"
BMW,Seria 7,2021,53 106 km,"RETEA NATIONALA DE VANZARI - BUCURESTI Galati, Judet Galati (Romania)","71 388"
Volkswagen,Polo,2015,249 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","8 250"
BMW,X3,2023,12 000 km,"Pacurari, Nr. 189 - 700545 Iasi, Judet Iasi (Romania)","65 899"
Mercedes-Benz,A,2023,6 km,"Calea Radnei Nr.247 - 310316 Arad, Judet Arad (Romania)","44 281"
Toyota,Yaris,2018,50 431 km,"Bulevardul Expozitiei 2 - 012103 Bucuresti, Judet Bucuresti (Romania)","16 900"
Ford,Focus,2019,135 587 km,"Calea Bucuresti, nr. 111 - 077180 Tunari, Judet Bucuresti - Ilfov (Romania)","13 989"
Audi,A4 Allroad,2020,162 000 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","29 990"
Volkswagen,Golf,2012,180 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","6 550"
Skoda,Octavia,2014,190 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","9 000"
Audi,Q5,2019,199 000 km,"Nicolae Balcescu - 607355 Nicolae Balcescu, Judet Bacau (Romania)","26 990"
Opel,Corsa,2015,113 000 km,"Constructorilor NR.9 - 307370 Sacalaz, Judet Timis (Romania)","6 999"
Audi,A7,2015,193 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","27 800"
Mini,Countryman,2021,13 000 km,"Magurele str Magnoliei nr.10 - 077125 Magurele, Judet Bucuresti - Ilfov (Romania)","32 950"
BMW,Seria 3,2010,237 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","9 000"
Ford,Kuga,2013,234 600 km,"Calea Turzii 184, Cluj-Napoca, Romania - 400495 Cluj-Napoca, Judet Cluj (Romania)","11 500"
Hyundai,ix35,2012,181 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","10 300"
Audi,A6,2018,180 000 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","21 988"
Volkswagen,Touran,2013,190 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","8 250"
Citroën,DS4,2018,208 000 km,"EUGEN IONESCO 109 A - 400357 Cluj-Napoca, Judet Cluj (Romania)","10 994"
Renault,Megane,2020,149 850 km,"Pitesti - 117045 Pitesti, Judet Arges (Romania)","12 999"
Volkswagen,Tiguan,2019,159 440 km,"STR. OASULUI, 86-90 (Intrare Str. Iris) - 400268 Cluj-Napoca, Judet Cluj (Romania)","24 999"
Audi,A4,2013,189 000 km,"Bucuresti, Sectorul 3","9 300"
Nissan,Qashqai,2007,249 000 km,"Constructorilor nr 28 - 300571 Timisoara, Judet Timis (Romania)","5 999"
Ford,Focus,2015,241 577 km,"Calea Bucurestilor, nr. 224E - 075150 Otopeni, Judet Bucuresti - Ilfov (Romania)","5 999"
BMW,Seria 3,2018,258 000 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","14 999"
Ford,Puma,2020,98 000 km,"Miercurea-Ciuc, Sectorul 1","15 500"
Land Rover,Range Rover Evoque,2020,36 916 km,"Bulevardul Expozitiei 2 - 012103 Bucuresti, Judet Bucuresti (Romania)","40 400"
Skoda,Kodiaq,2018,120 000 km,"Bucuresti, Sec 1, Soseaua Chitilei nr 196 - 012402 Bucuresti, Judet Bucuresti (Romania)","25 823"
Volkswagen,Passat,2012,239 000 km,"Constructorilor nr 28 - 300571 Timisoara, Judet Timis (Romania)","8 499"
Audi,A4,2019,81 077 km,"DN 65 B nr 5 - 117140 Geamana, Judet Arges (Romania)","23 890"
Dacia,Logan,2018,93 085 km,"Sos. Bucuresti-Ploiesti, Nr145, - 235467 Otopeni, Judet Bucuresti - Ilfov (Romania)","7 650"
BMW,X4,2017,172 600 km,"Magurele str Magnoliei nr.10 - 077125 Magurele, Judet Bucuresti - Ilfov (Romania)","27 990"
Volkswagen,Touareg,2016,175 500 km,"Pitesti, Judet Arges","19 500"
Seat,Ibiza,2014,209 000 km,"Constructorilor nr 28 - 300571 Timisoara, Judet Timis (Romania)","5 499"
Ford,Mondeo,2018,198 000 km,"Constructorilor nr 28 - 300571 Timisoara, Judet Timis (Romania)","14 999"
Audi,A4,2018,239 198 km,"Botosani, Judet Botosani","20 200"
Renault,Megane,2013,233 000 km,"Bd. Timisoara nr. 104E - 61334 Bucuresti, Judet Bucuresti (Romania)","6 590"
Toyota,Yaris Cross,2023,2 km,"Bulevardul Tudor Vladimirescu 29A, AFI Tech Park 2 - 050881 Bucuresti, Judet Bucuresti (Romania)","27 600"
Citroën,DS5,2014,189 113 km,"Str. Corneliu Coposu - 40000 Cluj-Napoca, Judet Cluj (Romania)","10 750"
Volvo,V60,2013,247 361 km,"Calea Turzii 184, Cluj-Napoca, Romania - 400495 Cluj-Napoca, Judet Cluj (Romania)","12 999"
Volkswagen,up!,2018,129 652 km,"Str. Calea Bucuresti, Nr. 37 - 240300 Ramnicu Valcea, Judet Valcea (Romania)","6 975"
Mercedes-Benz,S,2023,17 km,"Str Gheorghe Doja nr 304 - 540237 Targu-Mures, Judet Mures (Romania)","249 372"
BMW,Seria 1,2006,214 000 km,"Constructorilor nr 28 - 300571 Timisoara, Judet Timis (Romania)","3 999"
Audi,Q7,2019,115 140 km,"Calea Clujului 197, Oradea, România - 410546 Oradea, Judet Bihor (Romania)","40 990"
Volvo,XC 60,2018,137 000 km,"Bucuresti, Sec 1, Soseaua Chitilei nr 196 - 012402 Bucuresti, Judet Bucuresti (Romania)","27 608"
Renault,Kangoo,2009,302 000 km,"Constructorilor nr 28 - 300571 Timisoara, Judet Timis (Romania)","2 999"
BMW,Seria 5,2021,16 694 km,"RETEA NATIONALA DE VANZARI - BUCURESTI Galati, Judet Galati (Romania)","51 156"
Volkswagen,Golf,2006,254 000 km,"Constructorilor nr 28 - 300571 Timisoara, Judet Timis (Romania)","3 499"
Ford,Focus,2011,209 000 km,"Constructorilor nr 28 - 300571 Timisoara, Judet Timis (Romania)","5 499"
Toyota,Corolla,2019,86 500 km,"Suceava, Judet Suceava","16 000"
Audi,A6,2016,140 000 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","24 500"
Toyota,C-HR,2021,44 700 km,"Bd. Expozitiei, Nr. 1-3 - 012103 Bucuresti, Judet Bucuresti (Romania)","21 896"
Peugeot,3008,2017,143 997 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","17 500"
Ford,Fiesta,2010,199 000 km,"Constructorilor nr 28 - 300571 Timisoara, Judet Timis (Romania)","4 499"
Dacia,Sandero,2013,237 000 km,"Constructorilor nr 28 - 300571 Timisoara, Judet Timis (Romania)","4 999"
Nissan,Juke,2015,172 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","10 000"
BMW,Seria 3,2018,214 000 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","17 990"
Renault,Clio,2012,283 000 km,"Constructorilor nr 28 - 300571 Timisoara, Judet Timis (Romania)","5 999"
BMW,X3,2022,11 500 km,"Craiova - 207206 Craiova, Judet Dolj (Romania)","59 976"
Ford,Focus,2013,193 000 km,"EUGEN IONESCO 109 A - 400357 Cluj-Napoca, Judet Cluj (Romania)","5 889"
Kia,Sportage,2018,60 300 km,"Bd. Expozitiei, Nr. 1-3 - 012103 Bucuresti, Judet Bucuresti (Romania)","20 900"
Skoda,Octavia,2019,179 450 km,"Strada Targoviste, nr 10 - 100299 Ploiesti, Judet Prahova (Romania)","12 489"
Hyundai,I30,2010,212 000 km,"Constructorilor nr 28 - 300571 Timisoara, Judet Timis (Romania)","4 499"
Suzuki,Vitara,2016,168 651 km,"Str. Corneliu Coposu - 40000 Cluj-Napoca, Judet Cluj (Romania)","13 650"
BMW,Seria 3,2015,181 786 km,"Calea Bucureștilor 30 - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","19 490"
Volkswagen,Golf,2010,271 000 km,"Plaiesu, Judet Neamt","5 000"
Audi,Q5,2015,113 750 km,"Strada Matei Corvin nr. 1 - 547530 Sangeorgiu de Mures, Judet Mures (Romania)","15 490"
Renault,Scenic,2008,198 000 km,"Strada Principala, nr 701 - 123456 Sascut, Judet Bacau (Romania)","3 999"
BMW,X5,2023,7 900 km,"Calea Bucureștilor 30 - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","99 989"
Volvo,XC 40,2019,139 903 km,"Calea Bucureștilor 30 - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","27 489"
BMW,Seria 3,2016,192 555 km,"Strada Aeroportului nr 47i, Cornetu, Ilfov - 077070 Cornetu, Judet Bucuresti - Ilfov (Romania)","16 990"
Audi,RS Q8,2023,5 000 km,"Calea Clujului 197, Oradea, România - 410546 Oradea, Judet Bihor (Romania)","160 884"
Volvo,XC 60,2019,195 000 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","28 560"
Skoda,Kodiaq,2020,164 000 km,"str. Amurgului, nr. 1 - 300278 Timisoara, Judet Timis (Romania)","24 100"
BMW,X5,2021,50 160 km,"Cluj-Napoca, Judet Cluj","68 000"
Mercedes-Benz,GLE,2020,129 900 km,"Calea Clujului 197, Oradea, România - 410546 Oradea, Judet Bihor (Romania)","78 528"
Audi,Q2,2017,78 693 km,"Calea Clujului 197, Oradea, România - 410546 Oradea, Judet Bihor (Romania)","18 489"
Hyundai,Tucson,2016,124 893 km,"Calea Clujului 197, Oradea, România - 410546 Oradea, Judet Bihor (Romania)","21 688"
Volkswagen,Tiguan,2017,86 905 km,"Calea Clujului 197, Oradea, România - 410546 Oradea, Judet Bihor (Romania)","21 688"
Skoda,Superb,2018,156 700 km,"Calea Clujului 197, Oradea, România - 410546 Oradea, Judet Bihor (Romania)","20 813"
Opel,Crossland,2019,18 000 km,"Calea Clujului 197, Oradea, România - 410546 Oradea, Judet Bihor (Romania)","16 481"
Porsche,Cayenne,2019,182 960 km,"Calea Clujului 197, Oradea, România - 410546 Oradea, Judet Bihor (Romania)","64 248"
Volkswagen,Passat,2020,170 328 km,"Calea Bucuresti, nr. 111 - 077180 Tunari, Judet Bucuresti - Ilfov (Romania)","18 990"
Mercedes-Benz,C,2017,148 700 km,"Magurele str Magnoliei nr.10 - 077125 Magurele, Judet Bucuresti - Ilfov (Romania)","22 450"
Skoda,Superb,2020,203 156 km,"focsani campului nr.14 - 620105 Focsani, Judet Vrancea (Romania)","16 990"
Ford,Transit Custom,2019,194 000 km,"Bucuresti, Sec 1, Soseaua Chitilei nr 196 - 012402 Bucuresti, Judet Bucuresti (Romania)","21 063"
Suzuki,Vitara,2016,119 000 km,"Bucuresti, Sectorul 3","13 900"
BMW,X5 M,2017,160 000 km,"com. Geamana Str. Targului ,NR 21/ IN PITESTI/ - 117141 Pitesti, Judet Arges (Romania)","35 990"
Toyota,C-HR,2017,188 451 km,"Racovita 267 - 077106 Ramnicu Valcea, Judet Valcea (Romania)","17 000"
BMW,X5,2020,75 000 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","52 000"
Audi,Q7,2012,289 000 km,"Strada Principala, nr 701 - 123456 Sascut, Judet Bacau (Romania)","14 499"
Mercedes-Benz,A,2016,99 990 km,"Calea Doctor Alexandru Șafran 23, Bacău, Romania - 600298 Bacau, Judet Bacau (Romania)","13 900"
Volkswagen,up!,2018,80 964 km,"Calea Floresti, Nr. 145 - 400495 Cluj-Napoca, Judet Cluj (Romania)","7 750"
Volkswagen,Tiguan,2019,126 500 km,"Piata Montreal nr 10, WTC, Intrarea E, Parter - 212659 Bucuresti, Judet Bucuresti (Romania)","27 370"
Mercedes-Benz,SL,2022,9 391 km,"Str Gheorghe Doja nr 304 - 540237 Targu-Mures, Judet Mures (Romania)","201 110"
Ford,Focus,2019,110 171 km,"Calea Clujului, Nr 279-281 - 417270 Oradea, Judet Bihor (Romania)","13 490"
Volkswagen,Golf,2014,149 000 km,"Constructorilor NR.9 - 307370 Sacalaz, Judet Timis (Romania)","9 990"
Mercedes-Benz,GLC,2019,172 592 km,"Bulevardul Poligrafiei nr 52-54 - 013706 Bucuresti, Judet Bucuresti (Romania)","33 499"
Volkswagen,Jetta,2013,211 000 km,"Str Teilor nr.170 - 307201 Timisoara, Judet Timis (Romania)","8 799"
Porsche,Cayenne Coupe,2023,5 000 km,"Drumul Garii Odai 2A, Cladirea AIRPORT PLAZA - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","102 221"
Opel,Astra,2017,183 300 km,"Bucuresti, sector 6 - 077040 Bucuresti, Judet Bucuresti (Romania)","8 989"
BMW,Seria 5,2020,149 000 km,"Bd. Timisoara nr. 104E - 61334 Bucuresti, Judet Bucuresti (Romania)","30 989"
Dacia,Duster,2019,196 000 km,"B-dul 1Decembrie 1918 , Nr 1 - 510125 Alba Iulia, Judet Alba (Romania)","13 890"
Mercedes-Benz,A,2020,133 544 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","22 499"
Volkswagen,Passat,2017,143 400 km,"Bucuresti, sector 6 - 077040 Bucuresti, Judet Bucuresti (Romania)","14 989"
Volkswagen,Passat,2016,199 000 km,"EUGEN IONESCO 109 A - 400357 Cluj-Napoca, Judet Cluj (Romania)","11 489"
Volkswagen,Passat,2018,195 700 km,"STR. ALUNIS NR.192 - 077124 Magurele, Judet Bucuresti - Ilfov (Romania)","15 489"
Volkswagen,Golf,2019,111 000 km,"Bucuresti, Sec 1, Soseaua Chitilei nr 196 - 012402 Bucuresti, Judet Bucuresti (Romania)","15 113"
Volkswagen,up!,2019,85 528 km,"Sos. Bucuresti-Ploiesti, Nr145, - 235467 Otopeni, Judet Bucuresti - Ilfov (Romania)","7 450"
Peugeot,3008,2019,165 805 km,"Calea Bucuresti, nr. 111 - 077180 Tunari, Judet Bucuresti - Ilfov (Romania)","19 189"
Ford,Focus,2019,72 599 km,"Calea Bucuresti, nr. 111 - 077180 Tunari, Judet Bucuresti - Ilfov (Romania)","12 490"
Opel,Zafira,2017,203 181 km,"Calea Turzii 184, Cluj-Napoca, Romania - 400495 Cluj-Napoca, Judet Cluj (Romania)","10 999"
Audi,A4,2016,185 000 km,"Strada Principala, nr 701 - 123456 Sascut, Judet Bacau (Romania)","16 999"
Volkswagen,Polo,2020,11 921 km,"Splaiul Independenței 319, Sema Parc - Paris - 060044 Bucuresti, Judet Bucuresti (Romania)","15 249"
Toyota,C-HR,2017,190 000 km,"STRADA ATELIERELOR, NR 148 - 607015 Moinesti, Judet Bacau (Romania)","17 990"
Volkswagen,ID.4,2023,1 km,"Pipera, Voluntari, Romania - 245700 Voluntari, Judet Bucuresti - Ilfov (Romania)","33 900"
Volkswagen,Golf,2019,147 379 km,"Calea Bucuresti, nr. 111 - 077180 Tunari, Judet Bucuresti - Ilfov (Romania)","12 190"
Volvo,S90,2018,121 504 km,"Racovita 267 - 077106 Ramnicu Valcea, Judet Valcea (Romania)","20 500"
BMW,Seria 7,2016,217 686 km,"Racovita 267 - 077106 Ramnicu Valcea, Judet Valcea (Romania)","32 500"
Mini,Countryman,2017,178 846 km,"Targu Mures str.libertatii 117A - 547525 Targu-Mures, Judet Mures (Romania)","16 648"
Volkswagen,T-Cross,2021,54 037 km,"sos Clinceni nr 25 - 077060 Bragadiru, Judet Bucuresti - Ilfov (Romania)","19 990"
Ford,Tourneo Connect,2018,233 155 km,"Str. Fabricii Nr. 93-103 - 400630 Cluj-Napoca, Judet Cluj (Romania)","16 648"
Ford,Tourneo Connect,2018,168 706 km,"Str. Fabricii Nr. 93-103 - 400630 Cluj-Napoca, Judet Cluj (Romania)","17 999"
BMW,X5,2012,267 000 km,"Str Oasului 177 - 400641 Cluj-Napoca, Judet Cluj (Romania)","13 499"
Volvo,XC 60,2018,192 450 km,"Strada Traian Vuia 236, Cluj-Napoca, Romania - 400397 Cluj-Napoca, Judet Cluj (Romania)","27 989"
Volkswagen,Tiguan,2012,283 000 km,"Strada Principala, nr 701 - 123456 Sascut, Judet Bacau (Romania)","12 499"
Skoda,Superb,2022,24 200 km,"Soseaua de Centura Nr. 53 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","28 700"
