Brand,Model,Year of Fabrication,Kilometres,Location,PriceEuro,PriceLei
Skoda,Octavia,2020,125 809 km,"DN 1A NR 427G - 107071 Blejoi, Judet Prahova (Romania)","14 900","14 900"
Mercedes-Benz,SLK,2006,189 000 km,"Vinerea, Judet Alba","9 200","9 200"
Renault,Laguna,2010,258 000 km,"Strada - 607355 Bacau, Judet Bacau (Romania)","5 590","5 590"
Skoda,Octavia,2006,260 000 km,"Fieni, Judet Dambovita","3 300","3 300"
Mercedes-Benz,E,2022,21 378 km,"Focsani, Judet Vrancea","63 000","63 000"
Dacia,Dokker,2018,133 000 km,"BULEVARDUL DEM RADULESCU NR.29 - 240425 Ramnicu Valcea, Judet Valcea (Romania)","8 328","8 328"
Mercedes-Benz,GLE,2023,10 302 km,"Drumul Garii Odai 2A, Cladirea AIRPORT PLAZA - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","115 311","115 311"
Mercedes-Benz,EQB,2023,,"Spl. Unirii - 166A - 40042 Bucuresti, Judet Bucuresti (Romania)","62 657","62 657"
BMW,X3,2014,144 000 km,"Pitesti, Judet Arges","14 900","14 900"
Volkswagen,Passat Alltrack,2014,270 000 km,"Roland Auto TM, Str Principala, Remetea Mare, Româ - 321320 Remetea Mare, Judet Timis (Romania)","8 990","8 990"
Opel,Karl,2018,95 890 km,"Clujului - 407042 Sannicoara, Judet Cluj (Romania)","6 500","6 500"
Toyota,C-HR,2023,10 km,"Str. Strandului, Nr 56 - 123456 Ramnicu Valcea, Judet Valcea (Romania)","28 928","28 928"
Mercedes-Benz,C,2021,35 000 km,"Calea Bucuresti 241 - 500299 Brasov, Judet Brasov (Romania)","44 990","44 990"
Mercedes-Benz,A,2018,63 000 km,"Drumul Eugen Brote nr 1 - 013833 Bucuresti, Judet Bucuresti (Romania)","21 449","21 449"
BMW,Altul,2023,22 km,"Calea Clujului Nr. 300 - 410553 Oradea, Judet Bihor (Romania)","119 000","119 000"
Mercedes-Benz,Sprinter,2012,270 852 km,"Constantin Langa nr 200 Miroslava - 707305 Miroslava, Judet Iasi (Romania)","15 800","15 800"
Renault,Kadjar,2016,224 000 km,"Str.Constructorilor,intrare Lipovei-Dumbravita - 300245 Timisoara, Judet Timis (Romania)","13 499","13 499"
Opel,Insignia,2012,152 930 km,"Str.Virtutii 55-57,Sector 6 - 060845 Bucuresti, Judet Bucuresti (Romania)","7 489","7 489"
Jeep,Wrangler,2019,86 000 km,"DN1-DN73 - 507075 Brasov, Judet Brasov (Romania)","51 240","51 240"
Maserati,Levante,2019,150 000 km,"Calea Clujului 197, Oradea, România - 410546 Oradea, Judet Bihor (Romania)","53 538","53 538"
Alfa Romeo,Spider,2001,160 049 km,"Calea Bucuresti nr 24 - 077055 Ciorogarla, Judet Bucuresti - Ilfov (Romania)","4 700","4 700"
Kia,Rio,2022,1 km,"S0S Giurgiului NR 48H JILAVA - 077120 Jilava, Judet Bucuresti - Ilfov (Romania)","13 800","13 800"
Mercedes-Benz,C,2022,16 104 km,"Șoseaua București Nord 18, Voluntari, Romania - 077190 Voluntari, Judet Bucuresti - Ilfov (Romania)","49 499","49 499"
BMW,Altul,2008,60 000 km,"Galati, Judet Galati","13 000","13 000"
Audi,e-tron,2021,380 km,"Str.Strandului,Nr 52 A - 240015 Ramnicu Valcea, Judet Valcea (Romania)","110 000","110 000"
Skoda,Superb,2019,240 999 km,"CALEA MOLDOVEI - 600353 Bacau, Judet Bacau (Romania)","20 990","20 990"
BMW,X3,2023,1 km,"SATU MARE AUREL VLAICU 119 - 440122 Satu Mare, Judet Satu Mare (Romania)","79 655","79 655"
Renault,Scenic,2010,250 550 km,"Soseaua Odaii 243 - 241244 Bucuresti, Judet Bucuresti (Romania)","3 990","3 990"
Mercedes-Benz,EQE,2022,15 km,"Spl. Unirii - 166A - 40042 Bucuresti, Judet Bucuresti (Romania)","111 860","111 860"
Mercedes-Benz,GLC,2022,12 864 km,"Bulevardul Expozitiei 2 - 012103 Bucuresti, Judet Bucuresti (Romania)","50 500","50 500"
Skoda,RAPID,2019,110 137 km,"Sos. Bucuresti-Ploiesti, Nr145, - 235467 Otopeni, Judet Bucuresti - Ilfov (Romania)","9 450","9 450"
Hyundai,IONIQ,2019,72 875 km,"STR. DISTRIBUTIEI, NR. 4 - 550135 Sibiu, Judet Sibiu (Romania)","21 389","21 389"
Toyota,RAV4,2023,10 km,"Str. Strandului, Nr 56 - 123456 Ramnicu Valcea, Judet Valcea (Romania)","49 598","49 598"
Volkswagen,Passat CC,2012,204 302 km,"Cluj-Napoca, Judet Cluj","12 490","12 490"
Audi,Q5,2013,249 372 km,"DN65B - 110438 Pitesti, Judet Arges (Romania)","16 490","16 490"
Renault,Laguna,2012,257 000 km,"bld.Muncii Nr.136 - 235600 Scornicesti, Judet Olt (Romania)","6 450","6 450"
Audi,Q5,2011,264 400 km,"DN65B - 110438 Pitesti, Judet Arges (Romania)","13 350","13 350"
Renault,Clio,2019,170 090 km,"STRADA ATOMISTILOR NR.50, MAGURELE, ILFOV - 077125 Magurele, Judet Bucuresti - Ilfov (Romania)","9 250","9 250"
Mercedes-Benz,GLE,2023,2 km,"CALEA BORSULUI, NR. 34B - 410605 Oradea, Judet Bihor (Romania)","98 399","98 399"
Jeep,Grand Cherokee,2022,10 km,"Bvd. Timisoara, Nr. 117A, Sector 6 - 061334 Bucuresti, Judet Bucuresti (Romania)","86 667","86 667"
Mercedes-Benz,GLE,2022,6 100 km,"Calea Clujului 279-281 - 410553 Oradea, Judet Bihor (Romania)","93 172","93 172"
Ford,Focus,2019,214 000 km,"BULEVARDUL DEM RADULESCU NR.29 - 240425 Ramnicu Valcea, Judet Valcea (Romania)","9 758","9 758"
Jeep,Grand Cherokee,2022,10 km,"Bvd. Timisoara, Nr. 117A, Sector 6 - 061334 Bucuresti, Judet Bucuresti (Romania)","86 667","86 667"
Jeep,Grand Cherokee,2022,10 km,"Bvd. Timisoara, Nr. 117A, Sector 6 - 061334 Bucuresti, Judet Bucuresti (Romania)","86 667","86 667"
Mercedes-Benz,S,2022,6 100 km,"Calea Clujului 279-281 - 410553 Oradea, Judet Bihor (Romania)","167 108","167 108"
Volkswagen,Passat CC,2010,256 535 km,"DN65B - 110438 Pitesti, Judet Arges (Romania)","8 900","8 900"
BMW,Seria 3,2005,265 811 km,"Petresti, Judet Bucuresti - Ilfov","3 400","3 400"
Porsche,Cayenne,2014,355 100 km,"DN65B - 110438 Pitesti, Judet Arges (Romania)","23 900","23 900"
BMW,X1,2017,45 000 km,"Bucuresti, Sectorul 2","22 000","22 000"
Audi,A6,2014,214 000 km,"Constanta, Judet Constanta","14 950","14 950"
Mercedes-Benz,S,2022,6 100 km,"Calea Clujului 279-281 - 410553 Oradea, Judet Bihor (Romania)","167 108","167 108"
Volkswagen,Passat CC,2010,256 535 km,"DN65B - 110438 Pitesti, Judet Arges (Romania)","8 900","8 900"
BMW,Seria 3,2005,265 811 km,"Petresti, Judet Bucuresti - Ilfov","3 400","3 400"
Porsche,Cayenne,2014,355 100 km,"DN65B - 110438 Pitesti, Judet Arges (Romania)","23 900","23 900"
BMW,X1,2017,45 000 km,"Bucuresti, Sectorul 2","22 000","22 000"
Audi,A6,2014,214 000 km,"Constanta, Judet Constanta","14 950","14 950"
BMW,X3,2014,211 850 km,"DN65B - 110438 Pitesti, Judet Arges (Romania)","17 250","17 250"
Volkswagen,Passat CC,2011,258 251 km,"DN65B - 110438 Pitesti, Judet Arges (Romania)","8 990","8 990"
Audi,A4,2015,148 000 km,"DN65B - 110438 Pitesti, Judet Arges (Romania)","16 900","16 900"
Smart,Fortwo,2021,81 571 km,"DN 1A NR 427G - 107071 Blejoi, Judet Prahova (Romania)","7 900","7 900"
Volkswagen,Golf,2005,303 000 km,"Strada - 607355 Bacau, Judet Bacau (Romania)","3 490","3 490"
Mercedes-Benz,GLE,2023,8 354 km,"sat Rudeni, nr. 103 - 077046 Chitila, Judet Bucuresti - Ilfov (Romania)","109 000","109 000"
Bentley,Flying Spur,2016,60 000 km,"Constanta, Judet Constanta","69 000","69 000"
Opel,Meriva,2010,82 000 km,"Calea Doctor Alexandru Safran, nr 40 - 123456 Bacau, Judet Bacau (Romania)","5 990","5 990"
Skoda,Octavia,2016,235 000 km,"Strada - 607355 Bacau, Judet Bacau (Romania)","11 990","11 990"
BMW,X4 M,2020,137 000 km,"Strada - 607355 Bacau, Judet Bacau (Romania)","42 000","42 000"
BMW,X5,2012,266 610 km,"DN65B - 110438 Pitesti, Judet Arges (Romania)","15 900","15 900"
BMW,Seria 5,2018,110 250 km,"Bucuresti, Sectorul 1","33 500","33 500"
BMW,Seria 5,2015,196 019 km,"DN65B - 110438 Pitesti, Judet Arges (Romania)","20 900","20 900"
Mercedes-Benz,ML,2012,357 500 km,"DN65B - 110438 Pitesti, Judet Arges (Romania)","16 900","16 900"
Skoda,Karoq,2021,172 220 km,"Calea Turzii 223 - 400500 Cluj-Napoca, Judet Cluj (Romania)","18 300","18 300"
Ford,S-Max,2016,280 000 km,"Strada - 607355 Bacau, Judet Bacau (Romania)","12 990","12 990"
Volkswagen,Touareg,2015,253 252 km,"DN65B - 110438 Pitesti, Judet Arges (Romania)","20 490","20 490"
Kia,Sportage,2016,72 500 km,"Otopeni, Judet Bucuresti - Ilfov","14 700","14 700"
Audi,RS7,2014,99 114 km,"DN65B - 110438 Pitesti, Judet Arges (Romania)","44 900","44 900"
Audi,A6,2015,91 807 km,"DN65B - 110438 Pitesti, Judet Arges (Romania)","20 990","20 990"
BMW,M3,2015,65 000 km,"DN65B - 110438 Pitesti, Judet Arges (Romania)","52 500","52 500"
BMW,Seria 5,2013,167 756 km,"DN65B - 110438 Pitesti, Judet Arges (Romania)","15 800","15 800"
Audi,A6,2018,62 000 km,"Cluj-Napoca, Judet Cluj","25 990","25 990"
Mercedes-Benz,S,2015,51 257 km,"DN65B - 110438 Pitesti, Judet Arges (Romania)","49 900","49 900"
BMW,XM,2023,4 733 km,"Drumul Garii Odai 2A, Cladirea AIRPORT PLAZA - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","141 491","141 491"
Volkswagen,Passat CC,2012,143 070 km,"DN65B - 110438 Pitesti, Judet Arges (Romania)","9 800","9 800"
Mercedes-Benz,CLA,2019,17 946 km,"DN65B - 110438 Pitesti, Judet Arges (Romania)","31 900","31 900"
Ford,Fiesta,2003,237 000 km,"Calan, Judet Hunedoara","1 490","1 490"
Ford,Focus,2009,216 697 km,"DN65B - 110438 Pitesti, Judet Arges (Romania)","3 490","3 490"
Volkswagen,Passat CC,2013,223 269 km,"DN65B - 110438 Pitesti, Judet Arges (Romania)","11 600","11 600"
Audi,Q5,2014,285 500 km,"DN65B - 110438 Pitesti, Judet Arges (Romania)","15 300","15 300"
Volkswagen,Passat,2014,203 450 km,"Zalau, Judet Salaj","9 350","9 350"
Ford,Mondeo,2018,190 000 km,"Bucuresti, Sectorul 3","16 350","16 350"
BMW,Seria 5,2011,273 800 km,"DN65B - 110438 Pitesti, Judet Arges (Romania)","10 400","10 400"
Audi,A5,2016,320 404 km,"DN65B - 110438 Pitesti, Judet Arges (Romania)","16 500","16 500"
BMW,X1,2016,193 000 km,"Bucuresti, Sectorul 4","20 500","20 500"
Volkswagen,Passat,2004,105 668 km,"DN65B - 110438 Pitesti, Judet Arges (Romania)","3 300","3 300"
Skoda,Octavia,2011,241 827 km,"DN65B - 110438 Pitesti, Judet Arges (Romania)","6 490","6 490"
Renault,Clio,2008,212 461 km,"DN65B - 110438 Pitesti, Judet Arges (Romania)","3 990","3 990"
Ford,Kuga,2020,130 000 km,"Splaiul Unirii 697 ( Starleasing pe waze ) - 031502 Bucuresti, Judet Bucuresti (Romania)","14 490","14 490"
Mercedes-Benz,A,2005,108 400 km,"DN65B - 110438 Pitesti, Judet Arges (Romania)","4 400","4 400"
Mercedes-Benz,E,2008,199 800 km,"DN65B - 110438 Pitesti, Judet Arges (Romania)","8 300","8 300"
Opel,Astra,2009,196 818 km,"DN65B - 110438 Pitesti, Judet Arges (Romania)","3 749","3 749"
Volkswagen,Golf,2006,262 000 km,"DN65B - 110438 Pitesti, Judet Arges (Romania)","5 900","5 900"
Peugeot,308,2022,3 660 km,"Bucuresti, Sectorul 3","23 490","23 490"
Renault,Clio,2020,113 369 km,"DN 22B, km 4 - 810550 Braila, Judet Braila (Romania)","9 900","9 900"
Volkswagen,Passat,2011,320 000 km,"Str. Mihai Viteazu, Arges - 110036 Pitesti, Judet Arges (Romania)","7 450","7 450"
Audi,A4,2005,211 266 km,"DN65B - 110438 Pitesti, Judet Arges (Romania)","4 700","4 700"
Audi,A4,2005,314 896 km,"Galati, Judet Galati","3 580","3 580"
Audi,A3,2012,262 300 km,"DN65B - 110438 Pitesti, Judet Arges (Romania)","8 400","8 400"
Audi,A6,2008,206 678 km,"DN65B - 110438 Pitesti, Judet Arges (Romania)","5 990","5 990"
BMW,Seria 4,2015,155 040 km,"DN65B - 110438 Pitesti, Judet Arges (Romania)","22 700","22 700"
Ford,Focus,2019,150 000 km,"Bucuresti - Targoviste nr 9M - 013501 Bucuresti, Judet Bucuresti (Romania)","12 998","12 998"
Skoda,Fabia,2016,179 000 km,"Sibiu, Judet Sibiu","7 800","7 800"
Audi,A4,2017,158 600 km,"DN65B - 110438 Pitesti, Judet Arges (Romania)","20 500","20 500"
BMW,Seria 5,2013,297 000 km,"Odaile, Sectorul 4","9 500","9 500"
Mercedes-Benz,S,2023,1 km,"Calea Radnei Nr.247 - 310316 Arad, Judet Arad (Romania)","166 778","166 778"
BMW,Seria 3,2022,20 664 km,"Șos. București - Ploiești 53A - 013685 Bucuresti, Judet Bucuresti (Romania)","45 672","45 672"
Opel,Astra,2011,263 000 km,"Arad, Judet Arad","5 999","5 999"
Porsche,Cayenne,2018,98 000 km,"BULEVARDUL DEM RADULESCU NR.29 - 240425 Ramnicu Valcea, Judet Valcea (Romania)","69 020","69 020"
BMW,Seria 3,2022,24 800 km,"Șos. București - Ploiești 53A - 013685 Bucuresti, Judet Bucuresti (Romania)","42 102","42 102"
BMW,X3,2018,82 580 km,"Soseaua Bucuresti-Ploiesti, nr 42-44 - 015011 Bucuresti, Judet Bucuresti (Romania)","38 300","38 300"
BMW,X1,2019,49 400 km,"Sos. Bucuresti Nord, nr. 15-23 etaj. 1 Voluntari - 077190 Voluntari, Judet Bucuresti - Ilfov (Romania)","21 600","21 600"
Volkswagen,Golf Plus,2007,337 949 km,"Nicolae Balcescu - 607355 Nicolae Balcescu, Judet Bacau (Romania)","2 490","2 490"
BMW,Seria 5,2001,270 000 km,"Arad, Judet Arad","2 250","2 250"
Seat,Ibiza,2009,77 000 km,"Timisoara, Judet Timis","4 200","4 200"
Mercedes-Benz,S,2018,144 960 km,"Racordarii, NR 12-18 - 012686 Bucuresti, Judet Bucuresti (Romania)","59 899","59 899"
Audi,A4,2010,239 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","8 300","8 300"
Toyota,Yaris,2009,161 000 km,"Bucuresti, Sectorul 4","5 400","5 400"
Nissan,Juke,2016,130 000 km,"Ploiesti - 212779 Ploiesti, Judet Prahova (Romania)","10 999","10 999"
Renault,Trafic,2018,160 964 km,"Str.Barajului Nr.10 - 240266 Ramnicu Valcea, Judet Valcea (Romania)","24 990","24 990"
Ford,Focus,2018,145 962 km,"Strada Albota 2 (DN 65) - 117030 Pitesti, Judet Arges (Romania)","12 900","12 900"
BMW,X6,2022,8 000 km,"Bucuresti, Splaiul Unirii, Nr. 311, Sec 3. - 236578 Bucuresti, Judet Bucuresti (Romania)","98 175","98 175"
Suzuki,Celerio,2018,63 000 km,"Drumul Eugen Brote nr 1 - 013833 Bucuresti, Judet Bucuresti (Romania)","6 448","6 448"
BMW,Seria 5,2013,200 000 km,"Calea Aurel Vlaicu 275c, Arad, România - 310350 Arad, Judet Arad (Romania)","14 499","14 499"
Opel,Astra,2005,216 067 km,"Tauteu 381 - 417580 Tauteu, Judet Bihor (Romania)","1 999","1 999"
Renault,Arkana,2023,6 199 km,"Bulevardul Pipera 28-30 - 077190 Ilfov, Judet Ilfov (Romania)","28 990","28 990"
Ford,Focus,2012,288 000 km,"Bucuresti, Sectorul 6","4 850","4 850"
Mercedes-Benz,SL,2023,6 km,"Calea Radnei Nr.247 - 310316 Arad, Judet Arad (Romania)","241 166","241 166"
BMW,X7,2019,73 173 km,"Splaiul Unirii Nr.643-673 Sector 3 - 030138 Bucuresti, Judet Bucuresti (Romania)","86 800","86 800"
Dacia,Lodgy,2016,125 000 km,"Floresti, Judet Cluj","8 000","8 000"
Mercedes-Benz,C,2022,6 000 km,"Calea Radnei Nr.247 - 310316 Arad, Judet Arad (Romania)","71 281","71 281"
Audi,Q5,2022,45 183 km,"Sos. Borsului Nr. 22 D - 410605 Oradea, Judet Bihor (Romania)","50 990","50 990"
Toyota,Corolla,2021,35 787 km,"str 23 august - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","20 990","20 990"
Volkswagen,Jetta,2011,211 252 km,"Splaiul Unirii Nr.643-673 Sector 3 - 030138 Bucuresti, Judet Bucuresti (Romania)","5 950","5 950"
BMW,X3,2018,105 626 km,"DN 1B , SOS. PLOIESTI - BUZAU, NR. 505 - 107070 Blejoi, Judet Prahova (Romania)","37 961","37 961"
Toyota,RAV4,2016,81 171 km,"Sos. Iasi - Tg. Frumos Km 12 - 707280 Iasi, Judet Iasi (Romania)","19 997","19 997"
Hyundai,Santa Fe,2015,208 000 km,"Calea Feldioarei Nr 18 BRASOV - 500450 Brasov, Judet Brasov (Romania)","14 450","14 450"
Nissan,Qashqai,2020,104 814 km,"Bulevardul Expozitiei 2 - 012103 Bucuresti, Judet Bucuresti (Romania)","23 990","23 990"
Toyota,Corolla,2022,42 000 km,"ion ratiu 9 - 557225 Sibiu, Judet Sibiu (Romania)","19 040","19 040"
Toyota,RAV4,2019,64 143 km,"Calea Munteniei Nr. 20 - 620172 Focsani, Judet Vrancea (Romania)","33 500","33 500"
Volkswagen,Golf Plus,2013,212 000 km,"I.C. Bratianu nr 122 - 731166 Barlad, Judet Vaslui (Romania)","6 950","6 950"
Volkswagen,Golf,2015,209 000 km,"Str. Traian Vuia nr 139 - 400482 Cluj-Napoca, Judet Cluj (Romania)","14 900","14 900"
Skoda,Octavia,2018,116 220 km,"DN1, KM 6, SOSEAUA PLOIESTI-BRASOV - 107070 Blejoi, Judet Prahova (Romania)","16 990","16 990"
Audi,A6,2015,230 000 km,"DN1K - 213465 Chitorani, Judet Prahova (Romania)","9 800","9 800"
Renault,Talisman,2018,76 000 km,"Str. Selimbar, DN.1, Km. 305-500 - 510170 Sibiu, Judet Sibiu (Romania)","15 500","15 500"
Smart,Fortwo,2023,,"Șoseaua București Nord 18, Voluntari, Romania - 077190 Voluntari, Judet Bucuresti - Ilfov (Romania)","28 844","28 844"
Hyundai,I30,2020,111 859 km,"SPLAIUL UNIRII 355-369 - 032108 Bucuresti, Judet Bucuresti (Romania)","14 144","14 144"
Mazda,CX-30,2023,2 km,"CALEA BORSULUI, NR. 34B - 410605 Oradea, Judet Bihor (Romania)","27 547","27 547"
Ford,Mustang Mach-E,2022,8 000 km,"Bulevardul Grivitei A100 - 500198 Brasov, Judet Brasov (Romania)","48 899","48 899"
Volkswagen,ID.3,2023,390 km,"DN 1, km 303+380 - 557260 Selimbar, Judet Sibiu (Romania)","27 990","27 990"
BMW,X6,2016,198 000 km,"Bd. Tomis, Nr. 358 - 900046 Constanta, Judet Constanta (Romania)","32 900","32 900"
Mercedes-Benz,GLA,2015,189 854 km,"Splaiul Independenței 319, Sema Parc - Paris - 060044 Bucuresti, Judet Bucuresti (Romania)","15 750","15 750"
Toyota,Land Cruiser,2022,10 km,"Intrarea Straulesti nr. 2D - 013342 Bucuresti, Judet Bucuresti (Romania)","180 880","180 880"
Volkswagen,Golf,2018,147 000 km,"BULEVARDUL DEM RADULESCU NR.29 - 240425 Ramnicu Valcea, Judet Valcea (Romania)","11 900","11 900"
Volkswagen,Passat,2014,168 200 km,"Splaiul Independenței 319, Sema Parc - Paris - 060044 Bucuresti, Judet Bucuresti (Romania)","9 950","9 950"
Volkswagen,Caddy,2008,285 000 km,"397G14/5 corunca 397G14/5 - 540292 Corunca, Judet Mures (Romania)","7 897","7 897"
Volkswagen,Polo,2013,189 000 km,"397G14/5 corunca 397G14/5 - 540292 Corunca, Judet Mures (Romania)","5 899","5 899"
Volkswagen,Golf,2009,237 000 km,"397G14/5 corunca 397G14/5 - 540292 Corunca, Judet Mures (Romania)","4 299","4 299"
Mercedes-Benz,CLS,2018,98 000 km,"Cluj-Napoca, Judet Cluj","48 900","48 900"
Toyota,C-HR,2022,12 888 km,"B-dul Pipera nr 1, biroul 3, Sediul Toyota Pipera - 077190 Voluntari, Judet Bucuresti - Ilfov (Romania)","31 449","31 449"
Volvo,XC 60,2019,135 335 km,"Calea Bucuresti 241 - 500299 Brasov, Judet Brasov (Romania)","30 400","30 400"
Volkswagen,Passat,2018,199 100 km,"Cluj-Napoca, Judet Cluj","16 800","16 800"
BMW,Seria 4,2015,200 000 km,"Bucuresti, Sectorul 3","20 000","20 000"
BMW,X5,2022,20 500 km,"Șos. București - Ploiești 53A - 013685 Bucuresti, Judet Bucuresti (Romania)","67 687","67 687"
Mercedes-Benz,GLE,2022,25 319 km,"Drumul Garii Odai 2A, Cladirea AIRPORT PLAZA - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","79 611","79 611"
Mercedes-Benz,A,2010,205 000 km,"Cluj-Napoca, Judet Cluj","3 200","3 200"
BMW,X2,2019,122 400 km,"SLATINA,STR PLEVNEI,NR 1N - 230033 Slatina, Judet Olt (Romania)","25 990","25 990"
BMW,Seria 5,2018,68 400 km,"SLATINA,STR PLEVNEI,NR 1N - 230033 Slatina, Judet Olt (Romania)","27 990","27 990"
Mini,Countryman,2017,119 000 km,"SLATINA,STR PLEVNEI,NR 1N - 230033 Slatina, Judet Olt (Romania)","17 990","17 990"
Peugeot,3008,2019,74 000 km,"SLATINA,STR PLEVNEI,NR 1N - 230033 Slatina, Judet Olt (Romania)","20 990","20 990"
Land Rover,Range Rover Evoque,2019,50 000 km,"SLATINA,STR PLEVNEI,NR 1N - 230033 Slatina, Judet Olt (Romania)","29 990","29 990"
Land Rover,Range Rover Evoque,2019,50 000 km,"SLATINA,STR PLEVNEI,NR 1N - 230033 Slatina, Judet Olt (Romania)","29 990","29 990"
Ford,Focus,2019,63 520 km,"Strada Progresului 134-138, București, România - 050696 Bucuresti, Judet Bucuresti (Romania)","12 990","12 990"
Volkswagen,Golf Plus,2010,124 000 km,"Calea Doctor Alexandru Safran, nr 40 - 123456 Bacau, Judet Bacau (Romania)","8 330","8 330"
Volkswagen,Passat,2011,221 993 km,"Șoseaua Alexandriei 56, Bragadiru, România - 080643 Bragadiru, Judet Bucuresti - Ilfov (Romania)","7 990","7 990"
Renault,Kadjar,2015,88 235 km,"Soseaua Pantelimon, Nr. 450, Sect. 2 Bucuresti - 033092 Bucuresti, Judet Bucuresti (Romania)","11 990","11 990"
Fiat,Panda,2012,83 000 km,"Soseaua Pantelimon, Nr. 450, Sect. 2 Bucuresti - 033092 Bucuresti, Judet Bucuresti (Romania)","3 400","3 400"
Audi,A6,2019,41 268 km,"Bulevardul Iuliu Maniu 516, Sector 6 - 061124 Bucuresti, Judet Bucuresti (Romania)","36 499","36 499"
Mercedes-Benz,CLA,2018,196 000 km,"Voluntari, Judet Bucuresti - Ilfov","19 800","19 800"
Mercedes-Benz,GLE Coupe,2020,60 000 km,"Bucuresti, Sectorul 1","78 900","78 900"
Dacia,Logan,2019,47 151 km,"Str.Barajului Nr.10 - 240266 Ramnicu Valcea, Judet Valcea (Romania)","8 490","8 490"
Opel,Astra,2016,157 000 km,"SECTOR 1 , Aeroport Otopeni - 070000 Bucuresti, Judet Bucuresti (Romania)","6 699","6 699"
Volkswagen,Tiguan,2018,173 000 km,"Aleea Sinaia L150(LANGA RESTAURANT SOLARINO) - 13004 Aninoasa, Judet Dambovita (Romania)","23 800","23 800"
Mercedes-Benz,S,2022,27 000 km,"KM279 - DN2 - 607355 Bacau, Judet Bacau (Romania)","122 500","122 500"
Mercedes-Benz,S,2017,162 494 km,"Bulevardul Expozitiei 2 - 012103 Bucuresti, Judet Bucuresti (Romania)","58 900","58 900"
Audi,A4,2008,248 000 km,"Calea Aurel Vlaicu 275c, Arad, România - 310350 Arad, Judet Arad (Romania)","8 999","8 999"
Volkswagen,Passat,2015,192 000 km,"Ilfov, Otopeni","11 800","11 800"
Land Rover,Range Rover Evoque,2012,150 000 km,"Bucuresti, Sectorul 1","16 000","16 000"
Mercedes-Benz,S,2023,5 000 km,"Calea Radnei Nr.247 - 310316 Arad, Judet Arad (Romania)","270 640","270 640"
Fiat,Qubo,2009,173 679 km,"Nicolae Balcescu - 607355 Nicolae Balcescu, Judet Bacau (Romania)","4 490","4 490"
BMW,X1,2013,195 000 km,"Strada - 607355 Bacau, Judet Bacau (Romania)","9 990","9 990"
Dacia,Duster,2020,81 252 km,"Fetesti, Judet Ialomita","13 250","13 250"
Land Rover,Range Rover Evoque,2017,109 000 km,"Cluj-Napoca, Judet Cluj","24 900","24 900"
Opel,Grandland X,2021,125 155 km,"Cluj-Napoca, Judet Cluj","13 900","13 900"
Audi,A8,2020,55 200 km,"Constanta, Judet Constanta","72 500","72 500"
Volkswagen,Tiguan,2017,158 800 km,"Argeșelu, Comuna Mărăcineni, România - 117450 Maracineni, Judet Arges (Romania)","21 900","21 900"
Volkswagen,Golf,2009,180 000 km,"Str.Martirilor 1989 Nr 160 - 300693 Timisoara, Judet Timis (Romania)","5 750","5 750"
Mercedes-Benz,GLE,2023,12 303 km,"Drumul Garii Odai 2A, Cladirea AIRPORT PLAZA - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","80 801","80 801"
Skoda,Fabia,2017,48 259 km,"Str. Dura, nr 1A - 430067 Baia Mare, Judet Maramures (Romania)","13 299","13 299"
Volkswagen,Golf,2011,220 000 km,"Str.Martirilor 1989 Nr 160 - 300693 Timisoara, Judet Timis (Romania)","4 950","4 950"
Skoda,Octavia,2019,43 000 km,"Str. Traian Vuia nr 139 - 400482 Cluj-Napoca, Judet Cluj (Romania)","23 900","23 900"
BMW,Seria 5,2018,135 000 km,"Bucuresti, Sectorul 6","29 900","29 900"
Volkswagen,Passat,2017,235 000 km,"SPLAIUL UNIRII 865H - 030352 Bucuresti, Judet Bucuresti (Romania)","13 850","13 850"
Alfa Romeo,Brera,2009,180 915 km,"Calea Bucuresti nr 24 - 077055 Ciorogarla, Judet Bucuresti - Ilfov (Romania)","7 650","7 650"
Skoda,RAPID,2017,72 728 km,"BLD. PIPERA 1-IV Voluntari Jud. Ilfov - 077190 Voluntari, Judet Bucuresti - Ilfov (Romania)","10 900","10 900"
Audi,A4,2020,222 000 km,"Focsani, Judet Vrancea","19 400","19 400"
Audi,A6,2020,118 613 km,"Bulevardul Expozitiei 2 - 012103 Bucuresti, Judet Bucuresti (Romania)","43 900","43 900"
Dacia,Logan,2018,97 686 km,"Sos. de Centura nr 17A - .. Chiajna, Judet Bucuresti - Ilfov (Romania)","8 790","8 790"
Opel,Corsa,2022,5 km,"Calea Șagului nr. 201 - 300517 Timisoara, Judet Timis (Romania)","14 082","14 082"
Ford,Tourneo Courier,2019,196 000 km,"Sos. Fundeni Nr 266, Sector 2 - 022244 Bucuresti, Judet Bucuresti (Romania)","8 568","8 568"
Porsche,Cayenne,2014,149 427 km,"Piata Montreal 10, World Trade Center, Intrarea E - 235467 Bucuresti, Judet Bucuresti (Romania)","33 320","33 320"
