Brand,Model,Year of Fabrication,Kilometres,Location,PriceEuro,PriceLei
Mercedes-Benz,C,2022,29 097 km,"Bulevardul Expozitiei 2 - 012103 Bucuresti, Judet Bucuresti (Romania)","49 990","49 990"
Audi,A6,2011,254 020 km,"Str. Rosetti, Nr. 2B - 440214 Satu Mare, Judet Satu Mare (Romania)","11 750","11 750"
Audi,A5,2015,168 500 km,"Resita, Judet Caras-Severin","16 800","16 800"
Dacia,Sandero,2010,191 907 km,"Maracineni, Judet Arges","4 150","4 150"
Mercedes-Benz,C,2017,104 328 km,"Str. Rosetti, Nr. 2B - 440214 Satu Mare, Judet Satu Mare (Romania)","29 990","29 990"
BMW,X7,2019,78 000 km,"Zalau, Judet Salaj","83 300","83 300"
BMW,Seria 4,2017,230 587 km,"Soseaua Bucuresti-Ploiesti, nr 42-44 - 015011 Bucuresti, Judet Bucuresti (Romania)","18 389","18 389"
Dacia,Logan,2023,18 661 km,"Calea Bucurestilor , Nr. 1 , Otopeni , Ilfov - 077190 Otopeni, Judet Bucuresti - Ilfov (Romania)","14 950","14 950"
Ford,Mondeo,2018,150 200 km,"Oradea, Judet Bihor","15 200","15 200"
Jaguar,XF,2009,190 000 km,"Bucuresti, Sectorul 2","5 999","5 999"
Audi,A3,2015,145 000 km,"Bucuresti, Sectorul 1","13 999","13 999"
Mercedes-Benz,GLA,2022,43 255 km,"Bulevardul Expozitiei 2 - 012103 Bucuresti, Judet Bucuresti (Romania)","39 900","39 900"
Renault,Trafic,2023,20 km,"Constanta, Judet Constanta","35 000","35 000"
Jaguar,F-Pace,2019,60 000 km,"Splaiul Unirii 697 ( Starleasing pe waze ) - 031502 Bucuresti, Judet Bucuresti (Romania)","25 490","25 490"
BMW,Seria 5,2014,224 500 km,"Craiova, Judet Dolj","16 000","16 000"
Audi,A6,2013,218 009 km,"Bucuresti, Sectorul 2","3 999","3 999"
BMW,Seria 7,2023,5 301 km,"str.Turnu Magurele 270D, Cavar Center,Parter - 041713 Bucuresti, Judet Bucuresti (Romania)","129 989","129 989"
Renault,Captur,2016,52 058 km,"Splaiul Unirii, Nr.311 - 031111 Bucuresti, Judet Bucuresti (Romania)","9 900","9 900"
Ford,Fiesta,2018,170 563 km,"Bulevardul Expozitiei 2 - 012103 Bucuresti, Judet Bucuresti (Romania)","8 500","8 500"
Mercedes-Benz,GLE Coupe,2021,49 000 km,"Arad, Calea Radnei, Nr. 247 - 310316 Arad, Judet Arad (Romania)","101 138","101 138"
BMW,X5,2023,20 km,"Strada Calea Cristesti 95, Holboca, Romania - 707251 Iasi, Judet Iasi (Romania)","117 215","117 215"
Volkswagen,Caddy,2007,258 000 km,"Strada Principala, nr 701 - 123456 Sascut, Judet Bacau (Romania)","5 999","5 999"
Audi,A5,2013,227 000 km,"Suceava, Judet Suceava","14 700","14 700"
Dacia,Duster,2017,90 579 km,"DN 22B, km 4 - 810550 Braila, Judet Braila (Romania)","11 900","11 900"
Mercedes-Benz,S,2021,11 454 km,"Șoseaua București Nord 18, Voluntari, Romania - 077190 Voluntari, Judet Bucuresti - Ilfov (Romania)","105 000","105 000"
Ford,Tourneo Connect,2017,156 800 km,"Calea Bucuresti, Nr. 152 - 207450 Craiova, Judet Dolj (Romania)","12 852","12 852"
Nissan,Qashqai+2,2012,230 000 km,"STR. RUBINULUI 8 - 707083 Valea Lupului, Judet Iasi (Romania)","9 700","9 700"
Mercedes-Benz,GLE,2022,19 821 km,"Strada Ștrandului 61A - 100200 Ploiesti, Judet Prahova (Romania)","93 899","93 899"
BMW,Seria 7,2023,1 000 km,"Drumul Osiei 52 - 062395 Bucuresti, Judet Bucuresti (Romania)","169 999","169 999"
Renault,Talisman,2016,106 000 km,"Bucuresti, Sectorul 3","14 990","14 990"
BMW,Seria 5,2021,30 000 km,"str 23 august - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","48 990","48 990"
Citroën,C4 Picasso,2018,220 562 km,"STRADA ATOMISTILOR NR.50, MAGURELE, ILFOV - 077125 Magurele, Judet Bucuresti - Ilfov (Romania)","10 450","10 450"
Mercedes-Benz,GLE,2020,53 900 km,"Calea Bucuresti, Nr 95-97 - 321559 Otopeni, Judet Bucuresti - Ilfov (Romania)","94 739","94 739"
Mercedes-Benz,G,2021,8 000 km,"Bucuresti, Splaiul Unirii, Nr. 311, Sec 3. - 236578 Bucuresti, Judet Bucuresti (Romania)","148 900","148 900"
Ford,Mondeo,2010,184 750 km,"Cluj-Napoca, Judet Cluj","4 850","4 850"
Volkswagen,Passat,2013,206 000 km,"Timisoara, Judet Timis","7 999","7 999"
Mercedes-Benz,C,2022,27 910 km,"Bulevardul Expozitiei 2 - 012103 Bucuresti, Judet Bucuresti (Romania)","39 990","39 990"
Renault,Megane,2016,240 000 km,"STRADA ATELIERELOR, NR 148 - 607015 Moinesti, Judet Bacau (Romania)","9 990","9 990"
Ford,Fiesta,2016,77 000 km,"STRADA ATELIERELOR, NR 148 - 607015 Moinesti, Judet Bacau (Romania)","8 490","8 490"
Mercedes-Benz,S,1994,98 500 km,"Bucuresti, Sectorul 1","14 900","14 900"
Volkswagen,Golf,2006,200 000 km,"Str. Paul Constantinescu Nr 48 - 300342 Timisoara, Judet Timis (Romania)","3 000","3 000"
Peugeot,5008,2011,161 000 km,"Strada Principala, nr 701 - 123456 Sascut, Judet Bacau (Romania)","5 499","5 499"
BMW,X3,2020,75 000 km,"Timisoara, Judet Timis","33 900","33 900"
Land Rover,Range Rover Evoque,2014,117 500 km,"Bucuresti, Sectorul 1","15 900","15 900"
Mercedes-Benz,V,2021,44 600 km,"Sinaia, Judet Prahova","65 900","65 900"
Lexus,CT,2014,157 081 km,"STR. RUBINULUI 8 - 707083 Valea Lupului, Judet Iasi (Romania)","15 350","15 350"
Peugeot,3008,2011,275 000 km,"Str. Narciselor, Nr. 28 - 210138 Targu Jiu, Judet Gorj (Romania)","4 150","4 150"
Opel,Antara,2013,117 000 km,"Targu-Mures, Judet Mures","8 100","8 100"
Ford,Kuga,2023,4 066 km,"Bld. Theodor Pallady Nr. 51G - 032266 Bucuresti, Judet Bucuresti (Romania)","34 867","34 867"
Daewoo,Cielo,2005,129 000 km,"Buzau, Judet Buzau","1 350","1 350"
BMW,Seria 3,2013,300 300 km,"Bucuresti, Sectorul 1","8 999","8 999"
Audi,Q5,2010,200 000 km,"Str Brailei 346 DN2B Tirighina - 324567 Galati, Judet Galati (Romania)","9 990","9 990"
Mercedes-Benz,C,2022,41 727 km,"Bulevardul Expozitiei 2 - 012103 Bucuresti, Judet Bucuresti (Romania)","35 900","35 900"
Mercedes-Benz,E,2013,420 000 km,"Targu-Mures, Judet Mures","8 250","8 250"
BMW,Seria 4,2019,75 000 km,"Bucuresti, Sectorul 1","31 500","31 500"
Mercedes-Benz,S,2023,1 km,"Drumul Garii Odai 2A, Cladirea AIRPORT PLAZA - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","128 401","128 401"
Skoda,Fabia,2011,130 000 km,"Calea Doctor Alexandru Safran, nr 40 - 123456 Bacau, Judet Bacau (Romania)","5 990","5 990"
Ford,Focus,2012,150 000 km,"Calea Doctor Alexandru Safran, nr 40 - 123456 Bacau, Judet Bacau (Romania)","7 950","7 950"
Maserati,Levante,2016,150 000 km,"Bucuresti, Sectorul 1","32 000","32 000"
BMW,Seria 5,2012,284 908 km,"Nicolae Balcescu - 607355 Nicolae Balcescu, Judet Bacau (Romania)","9 990","9 990"
Mini,Cooper,2008,222 000 km,"Piatra Neamt, Judet Neamt","3 750","3 750"
Renault,Clio,2019,58 000 km,"Targu-Mures, Judet Mures","8 990","8 990"
BMW,Seria 7,2018,131 000 km,"Timisoara, Judet Timis","35 000","35 000"
BMW,Seria 3,2020,128 821 km,"Bistrita, Judet Bistrita-Nasaud","31 999","31 999"
BMW,X3,2014,171 824 km,"Nicolae Balcescu - 607355 Nicolae Balcescu, Judet Bacau (Romania)","17 490","17 490"
BMW,X3,2017,187 130 km,"Nicolae Balcescu - 607355 Nicolae Balcescu, Judet Bacau (Romania)","19 990","19 990"
Volkswagen,ID. Buzz,2023,2 500 km,"Sos. Odai Nr. 219-225 - 013604 Bucuresti, Judet Bucuresti (Romania)","54 740","54 740"
Porsche,Cayenne,2018,192 000 km,"NURVIL AUDI, Strada Strandului Nr 52A - 240501 Ramnicu Valcea, Judet Valcea (Romania)","58 900","58 900"
BMW,Seria 3,2020,86 000 km,"B-dul Expozitiei, Nr. 2 - 212323 Bucuresti, Judet Bucuresti (Romania)","37 366","37 366"
Ford,Focus,2012,149 000 km,"Calea Doctor Alexandru Safran, nr 40 - 123456 Bacau, Judet Bacau (Romania)","7 440","7 440"
BMW,X3,2020,46 000 km,"B-dul Expozitiei, Nr. 2 - 212323 Bucuresti, Judet Bucuresti (Romania)","44 899","44 899"
Hyundai,i20,2010,122 000 km,"Calea Doctor Alexandru Safran, nr 40 - 123456 Bacau, Judet Bacau (Romania)","6 950","6 950"
Mazda,5,2007,254 000 km,"Str. Paul Constantinescu Nr 48 - 300342 Timisoara, Judet Timis (Romania)","2 500","2 500"
BMW,Seria 5,2012,278 334 km,"Nicolae Balcescu - 607355 Nicolae Balcescu, Judet Bacau (Romania)","11 489","11 489"
BMW,X4,2020,98 000 km,"Galati, Galati - 800364 Galati, Judet Galati (Romania)","37 900","37 900"
Ford,Focus,2012,173 000 km,"Calea Doctor Alexandru Safran, nr 40 - 123456 Bacau, Judet Bacau (Romania)","6 990","6 990"
Nissan,Juke,2016,93 000 km,"Ploiesti, Judet Prahova","11 200","11 200"
Skoda,Superb,2018,191 000 km,"Brasov, Judet Brasov","17 500","17 500"
BMW,Seria 5,2013,226 715 km,"Nicolae Balcescu - 607355 Nicolae Balcescu, Judet Bacau (Romania)","13 990","13 990"
Porsche,Cayenne,2016,120 000 km,"Satu Mare, Judet Satu Mare","49 980","49 980"
Skoda,Octavia,2014,197 808 km,"Nicolae Balcescu - 607355 Nicolae Balcescu, Judet Bacau (Romania)","6 990","6 990"
Renault,Megane,2012,196 928 km,"str 23 august - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","5 290","5 290"
